Date,Time,Month,Year,Sales
07/1991,1,7,1991,3.526591
08/1991,2,8,1991,3.180891
09/1991,3,9,1991,3.252221
10/1991,4,10,1991,3.611003
11/1991,5,11,1991,3.565869
12/1991,6,12,1991,4.306371
01/1992,7,1,1992,5.088335
02/1992,8,2,1992,2.81452
03/1992,9,3,1992,2.985811
04/1992,10,4,1992,3.20478
05/1992,11,5,1992,3.127578
06/1992,12,6,1992,3.270523
07/1992,13,7,1992,3.73785082
08/1992,14,8,1992,3.55877609
09/1992,15,9,1992,3.77720173
10/1992,16,10,1992,3.92449042
11/1992,17,11,1992,4.38653092
12/1992,18,12,1992,5.81054917
01/1993,19,1,1993,6.19206769
02/1993,20,2,1993,3.45085699
03/1993,21,3,1993,3.77230686
04/1993,22,4,1993,3.7343029
05/1993,23,5,1993,3.90539892
06/1993,24,6,1993,4.04968714
07/1993,25,7,1993,4.31556552
08/1993,26,8,1993,4.56218455
09/1993,27,9,1993,4.60866203
10/1993,28,10,1993,4.66785129
11/1993,29,11,1993,5.09384145
12/1993,30,12,1993,7.1799622
01/1994,31,1,1994,6.73147308
02/1994,32,2,1994,3.84127758
03/1994,33,3,1994,4.39407557
04/1994,34,4,1994,4.07534073
05/1994,35,5,1994,4.5406449
06/1994,36,6,1994,4.64561508
07/1994,37,7,1994,4.75260653
08/1994,38,8,1994,5.35060467
09/1994,39,9,1994,5.20445484
10/1994,40,10,1994,5.3016513
11/1994,41,11,1994,5.77374216
12/1994,42,12,1994,6.20459348
01/1995,43,1,1995,6.74948382
02/1995,44,2,1995,4.21606735
03/1995,45,3,1995,4.94934946
04/1995,46,4,1995,4.8230449
05/1995,47,5,1995,5.19475419
06/1995,48,6,1995,5.17078711
07/1995,49,7,1995,5.25674157
08/1995,50,8,1995,5.85527729
09/1995,51,9,1995,5.49072901
10/1995,52,10,1995,6.11529323
11/1995,53,11,1995,6.08847284
12/1995,54,12,1995,7.41659792
01/1996,55,1,1996,8.32945212
02/1996,56,2,1996,5.06979585
03/1996,57,3,1996,5.26255667
04/1996,58,4,1996,5.59712628
05/1996,59,5,1996,6.110296
06/1996,60,6,1996,5.68916084
07/1996,61,7,1996,6.48684933
08/1996,62,8,1996,6.30056933
09/1996,63,9,1996,6.46747574
10/1996,64,10,1996,6.82862939
11/1996,65,11,1996,6.64907826
12/1996,66,12,1996,8.60693721
01/1997,67,1,1997,8.52447101
02/1997,68,2,1997,5.27791837
03/1997,69,3,1997,5.71430345
04/1997,70,4,1997,6.21452908
05/1997,71,5,1997,6.41192919
06/1997,72,6,1997,6.66771564
07/1997,73,7,1997,7.05083102
08/1997,74,8,1997,6.70491861
09/1997,75,9,1997,7.25098761
10/1997,76,10,1997,7.81973318
11/1997,77,11,1997,7.39810106
12/1997,78,12,1997,10.09623339
01/1998,79,1,1998,8.79851303
02/1998,80,2,1998,5.91826076
03/1998,81,3,1998,6.53449298
04/1998,82,4,1998,6.67573561
05/1998,83,5,1998,7.06420058
06/1998,84,6,1998,7.38338118
07/1998,85,7,1998,7.81349587
08/1998,86,8,1998,7.43189221
09/1998,87,9,1998,8.27511722
10/1998,88,10,1998,8.26044138
11/1998,89,11,1998,8.59615575
12/1998,90,12,1998,10.55893902
01/1999,91,1,1999,10.3914156
02/1999,92,2,1999,6.42153456
03/1999,93,3,1999,8.06261937
04/1999,94,4,1999,7.2977391
05/1999,95,5,1999,7.93691594
06/1999,96,6,1999,8.16532298
07/1999,97,7,1999,8.71742046
08/1999,98,8,1999,9.07096378
09/1999,99,9,1999,9.17711337
10/1999,100,10,1999,9.25188674
11/1999,101,11,1999,9.93313643
12/1999,102,12,1999,11.53297428
01/2000,103,1,2000,12.51146235
02/2000,104,2,2000,7.45719853
03/2000,105,3,2000,8.59119084
04/2000,106,4,2000,8.47400037
05/2000,107,5,2000,9.3868026
06/2000,108,6,2000,9.56039945
07/2000,109,7,2000,10.8342948
08/2000,110,8,2000,10.64375083
09/2000,111,9,2000,9.90816186
10/2000,112,10,2000,11.7100413
11/2000,113,11,2000,11.34015074
12/2000,114,12,2000,12.07913184
01/2001,115,1,2001,14.49758109
02/2001,116,2,2001,8.04927477
03/2001,117,3,2001,10.31289116
04/2001,118,4,2001,9.75335821
05/2001,119,5,2001,10.85038183
06/2001,120,6,2001,9.96171916
07/2001,121,7,2001,11.44360144
08/2001,122,8,2001,11.65923889
09/2001,123,9,2001,10.64705979
10/2001,124,10,2001,12.65213444
11/2001,125,11,2001,13.67446631
12/2001,126,12,2001,12.96573509
01/2002,127,1,2002,16.30026927
02/2002,128,2,2002,9.05348536
03/2002,129,3,2002,10.00244879
04/2002,130,4,2002,10.78875007
05/2002,131,5,2002,12.10670515
06/2002,132,6,2002,10.95410107
07/2002,133,7,2002,12.84456587
08/2002,134,8,2002,12.19649985
09/2002,135,9,2002,12.85474787
10/2002,136,10,2002,13.54200436
11/2002,137,11,2002,13.28764
12/2002,138,12,2002,15.13491784
01/2003,139,1,2003,16.82834968
02/2003,140,2,2003,9.80021461
03/2003,141,3,2003,10.81699371
04/2003,142,4,2003,10.65422256
05/2003,143,5,2003,12.51232269
06/2003,144,6,2003,12.16120969
07/2003,145,7,2003,12.9980462
08/2003,146,8,2003,12.51727568
09/2003,147,9,2003,13.26865761
10/2003,148,10,2003,14.73362169
11/2003,149,11,2003,13.66938174
12/2003,150,12,2003,16.50396561
01/2004,151,1,2004,18.00376795
02/2004,152,2,2004,11.93802987
03/2004,153,3,2004,12.9979001
04/2004,154,4,2004,12.88264507
05/2004,155,5,2004,13.94344681
06/2004,156,6,2004,13.9894722
07/2004,157,7,2004,15.33909742
08/2004,158,8,2004,15.37076394
09/2004,159,9,2004,16.142005
10/2004,160,10,2004,16.685754
11/2004,161,11,2004,17.636728
12/2004,162,12,2004,18.869325
01/2005,163,1,2005,20.778723
02/2005,164,2,2005,12.154552
03/2005,165,3,2005,13.402392
04/2005,166,4,2005,14.459239
05/2005,167,5,2005,14.795102
06/2005,168,6,2005,15.705248
07/2005,169,7,2005,15.82955
08/2005,170,8,2005,17.554701
09/2005,171,9,2005,18.100864
10/2005,172,10,2005,17.496668
11/2005,173,11,2005,19.347265
12/2005,174,12,2005,20.031291
01/2006,175,1,2006,23.486694
02/2006,176,2,2006,12.536987
03/2006,177,3,2006,15.467018
04/2006,178,4,2006,14.233539
05/2006,179,5,2006,17.783058
06/2006,180,6,2006,16.291602
07/2006,181,7,2006,16.980282
08/2006,182,8,2006,18.612189
09/2006,183,9,2006,16.623343
10/2006,184,10,2006,21.430241
11/2006,185,11,2006,23.575517
12/2006,186,12,2006,23.334206
01/2007,187,1,2007,28.038383
02/2007,188,2,2007,16.763869
03/2007,189,3,2007,19.792754
04/2007,190,4,2007,16.427305
05/2007,191,5,2007,21.000742
06/2007,192,6,2007,20.681002
07/2007,193,7,2007,21.83489
08/2007,194,8,2007,23.93020353
09/2007,195,9,2007,22.93035694
10/2007,196,10,2007,23.26333992
11/2007,197,11,2007,25.25003022
12/2007,198,12,2007,25.80609
01/2008,199,1,2008,29.665356
02/2008,200,2,2008,21.654285
03/2008,201,3,2008,18.264945
04/2008,202,4,2008,23.107677
05/2008,203,5,2008,22.91251
06/2008,204,6,2008,19.43174
