Time,Month,Month Num,Year,NumBDays,AvSalesPD,Total.Sales,Total.Fastner,Total.Nonfastner
1,January,1,2004,21,4065629.07,85378210.47,45156603.42,40221607.05
2,February,2,2004,20,4259919.303,85198386.06,44774397.88,40423988.18
3,March,3,2004,23,4402123.163,101248832.7,55125719.32,46123113.42
4,April,4,2004,22,4457814.911,98071928.05,53009855.08,45062072.97
5,May,5,2004,20,4660704.233,93214084.65,50379218.58,42834866.07
6,June,6,2004,22,4795401.911,105498842.1,57399718.73,48099123.32
7,July,7,2004,21,4741459.174,99570642.65,54133242.37,45437400.28
8,August,8,2004,22,4836356.301,106399838.6,57353050.32,49046788.29
9,September,9,2004,21,4996928.334,104935495,56272947.4,48662547.62
10,October,10,2004,21,5057438.036,106206198.8,56976205.1,49229993.66
11,November,11,2004,21,4747395.689,99695309.46,53736787.35,45958522.11
12,December,12,2004,21,4553174.107,95616656.24,51028412.21,44588244.03
13,January,1,2005,21,5103078.966,107164658.3,57131752.22,50032906.06
14,February,2,2005,20,5254579.931,105091598.6,56330207.08,48761391.53
15,March,3,2005,23,5344615.404,122926154.3,65472535.99,57453618.31
16,April,4,2005,21,5563596.568,116835527.9,62011050.19,54824477.74
17,May,5,2005,21,5671007.06,119091148.3,61948325.94,57142822.32
18,June,6,2005,22,5744865.928,126387050.4,65400121.29,60986929.12
19,July,7,2005,20,5701620.906,114032418.1,58456125.83,55576292.29
20,August,8,2005,23,5805039.804,133515915.5,68012577.71,65503337.79
21,September,9,2005,21,6264461.702,131553695.8,66161855.41,65391840.34
22,October,10,2005,21,6173016.548,129633347.5,65267659.44,64365688.07
23,November,11,2005,21,5724400.892,120212418.7,61346903.55,58865515.19
24,December,12,2005,21,5281800.483,110917810.2,55786056.12,55131754.03
25,January,1,2006,21,6268030.747,131628645.7,67083145.46,64545500.23
26,February,2,2006,20,6322438.174,126448763.5,63733047.2,62715716.27
27,March,3,2006,23,6512549.652,149788642,74477497.32,75311144.68
28,April,4,2006,20,6620078.465,132401569.3,66054169.27,66347400.02
29,May,5,2006,22,6707202.862,147558463,72948753.25,74609709.71
30,June,6,2006,22,6874479.091,151238540,74513794.38,76724745.61
31,July,7,2006,20,6768782.644,135375652.9,66932082.44,68443570.44
32,August,8,2006,23,6986812.663,160696691.3,78598560.33,82098130.92
33,September,9,2006,20,7224878.851,144497577,70360379.31,74137197.71
34,October,10,2006,22,7085466.946,155880272.8,76845847.48,79034425.33
35,November,11,2006,21,6647422.953,139595882,68520955.48,71074926.53
36,December,12,2006,20,6215257.769,124305155.4,60390362.59,63914792.78
37,January,1,2007,22,7033706.973,154741553.4,75554979.61,79186573.79
38,February,2,2007,20,7030511.606,140610232.1,68263304.19,72346927.93
39,March,3,2007,22,7379387.814,162346531.9,79989960.01,82356571.9
40,April,4,2007,21,7322826.967,153779366.3,76659113.43,77120252.87
41,May,5,2007,22,7537291.838,165820420.4,82011272.46,83809147.98
42,June,6,2007,21,7826282.641,164351935.5,81535862.36,82816073.11
43,July,7,2007,21,7660276.843,160865813.7,78956586.64,81909227.06
44,August,8,2007,23,7864424.946,180881773.8,87209983.15,93671790.61
45,September,9,2007,19,8183982.723,155495671.7,75864817.67,79630854.07
46,October,10,2007,23,8044654.042,185027043,89542049.92,95484993.04
47,November,11,2007,21,7577301.763,159123337,77232606.74,81890730.28
48,December,12,2007,19,7197523.134,136752939.6,64871583.5,71881356.05
49,January,1,2008,22,8032962.746,176725180.4,85612028.81,91113151.61
