First.Class,Business.Class,Economy.Class
1.912,,20.167
1.848,,20.161
1.856,,19.993
2.142,,20.986
2.118,,20.497
2.048,,20.77
2.111,,21.111
2.199,,20.675
2.231,,22.092
2.081,,20.772
2.213,,21.642
2.131,,21.911
,,
2.131,,23.777
2.034,,22.658
2.19,,23.515
2.262,,21.384
2.579,,24.344
2.367,,21.137
2.432,,23.069
2.64,,23.664
2.614,,23.219
2.569,,23.192
2.523,,23.475
2.26,,22.377
1.117,,16.606
0.59,,13.987
0.966,,16.251
1.235,,18.439
2.001,,20.262
1.696,,19.535
2.089,,22.467
2.716,,24.559
2.483,,24.591
2.461,,24.511
2.533,,24.524
2.273,,23.119
2.273,,23.106
2.37,,23.292
1.782,,21.566
1.385,,18.565
2.322,,24.361
2.34,,22.983
2.203,,21.062
2.3,,21.766
2.125,,22.285
2.345,,22.867
2.224,,23.276
1.952,,20.924
2.212,,21.716
2.028,,20.908
1.906,,21.41
1.834,,21.361
1.797,,22.412
1.869,,21.29
1.886,,22.247
2.131,,22.445
2.021,,21.26
2.199,,22.771
2.14,,23.723
2.19,,23.757
1.917,,23.482
2.096,,23.653
2.254,,26.054
2.251,,25.695
2.072,,26.72
0.993,,15.033
1.675,,22.34
1.463,,19.297
2.256,,23.761
2.216,,22.15
2.218,,22.236
2.568,,23.157
2.483,,24.387
2.545,,23.844
2.599,,23.681
2.483,,24.456
1.793,,19.899
0.516,,13.662
0.873,,15.698
1.195,,18.189
1.525,,19.448
1.906,,20.891
2.246,,22.284
2.247,,23.247
2.316,,24.44
2.276,,22.519
2.403,,22.818
2.432,,23.472
2.49,,24.117
2.013,,24.435
1.508,,20.589
2.251,,23.427
2.079,,20.923
2.21,,22.959
1.96,,19.152
2.251,,22.011
2.013,,20.228
2.252,,21.332
2.067,,20.5
1.831,,19.09
2.069,,21.692
1.953,,20.157
2.199,,22.231
1.771,,20.914
1.696,,21.454
1.788,,21.345
1.636,1.524,19.26
1.741,2.212,18.781
1.597,1.777,17.445
1.943,2.552,19.628
1.66,1.889,17.692
0.616,0.851,7.046
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.053,0.618,11.569
0.04,0.565,11.973
0.354,0.414,11.123
0.505,0.543,11.479
0.711,0.712,16.969
0.723,0.652,15.997
0.796,0.709,16.555
0.856,0.793,17.959
0.845,0.838,18.868
0.807,0.763,15.4
0.276,0.266,10.544
0.339,0.362,12.755
0.581,0.665,19.02
0.894,0.957,20.077
0.936,1.145,22.124
1.111,1.312,19.92
1.446,1.689,17.215
1.517,1.762,17.662
1.513,2.16,19.828
1.508,1.877,18.754
1.636,2.048,20.39
1.38,1.824,18.383
1.453,1.986,19.377
