"MONTH","YEAR","npassengers"
1,2000,51748669
1,2001,55109146
1,2002,47842716
1,2003,53602085
1,2004,54994858
1,2005,60095314
1,2006,61090888
1,2007,62546720
1,2008,63437806
1,2009,57150106
1,2010,58221756
1,2011,59368755
1,2012,60680668
1,2013,61952700
1,2014,63032921
1,2015,65574499
1,2016,69321796
1,2017,71867022
1,2018,74037756
1,2019,76927270
1,2020,80964542
2,2000,53588293
2,2001,52917399
2,2002,47054039
2,2003,50205833
2,2004,55570238
2,2005,57766535
2,2006,58010686
2,2007,58733656
2,2008,62151365
2,2009,54324454
2,2010,53422555
2,2011,54980018
2,2012,58522494
2,2013,58121892
2,2014,58326656
2,2015,60835166
2,2016,65814575
2,2017,66012813
2,2018,70088503
2,2019,72149249
2,2020,76071817
3,2000,64946495
3,2001,65068140
3,2002,59208378
3,2003,60507997
3,2004,66227528
3,2005,72260533
3,2006,71644255
3,2007,73048044
3,2008,73887254
3,2009,66328527
3,2010,68065719
3,2011,69590832
3,2012,71051824
3,2013,72181478
3,2014,73791934
3,2015,76291641
3,2016,79309013
3,2017,82176928
3,2018,86708574
3,2019,90767426
3,2020,43622808
4,2000,61996705
4,2001,62374914
4,2002,55051200
4,2003,56118140
4,2004,65052270
4,2005,67159210
4,2006,68974240
4,2007,70673935
4,2008,68962994
4,2009,65165723
4,2010,65229536
4,2011,66788726
4,2012,68123506
4,2013,67906002
4,2014,71047886
4,2015,74068508
4,2016,75797613
4,2017,80069250
4,2018,83996942
4,2019,87177374
4,2020,3327614
5,2000,64347809
5,2001,62623686
5,2002,57281934
5,2003,58626948
5,2004,64817378
5,2005,70104595
5,2006,70219616
5,2007,72693621
5,2008,72046810
5,2009,65052202
5,2010,67543699
5,2011,70270883
5,2012,70412392
5,2013,72286543
5,2014,74563819
5,2015,77718246
5,2016,80942723
5,2017,83600085
5,2018,88314539
5,2019,92578600
5,2020,8660384
6,2000,67806223
6,2001,66194224
6,2002,60535398
6,2003,63375819
6,2004,70052273
6,2005,73675670
6,2006,73570407
6,2007,76215878
6,2008,74480532
6,2009,69436335
6,2010,71457434
6,2011,73004235
6,2012,73936592
6,2013,74793474
6,2014,77023075
6,2015,80391294
6,2016,84494664
6,2017,87740540
6,2018,92657091
6,2019,95766379
6,2020,17040790
7,2000,69851094
7,2001,69529998
7,2002,63425621
7,2003,68450635
7,2004,74234065
7,2005,77790810
7,2006,76423852
7,2007,79596754
7,2008,77374632
7,2009,74791624
7,2010,75612702
7,2011,77476913
7,2012,77159996
7,2013,77515842
7,2014,80978357
7,2015,85866637
7,2016,88015794
7,2017,91624010
7,2018,96610544
7,2019,99421298
7,2020,24827610
8,2000,68482677
8,2001,70132365
8,2002,63619740
8,2003,66855353
8,2004,71520387
8,2005,73604147
8,2006,73056019
8,2007,78410320
8,2008,74753659
8,2009,71769858
8,2010,73129863
8,2011,73648650
8,2012,75777757
8,2013,76229169
8,2014,78967134
8,2015,83152764
8,2016,84548934
8,2017,89024186
8,2018,93490405
8,2019,96224458
8,2020,26295714
9,2000,58106713
9,2001,38729338
9,2002,50013492
9,2003,54452532
9,2004,58897723
9,2005,62535007
9,2006,62449654
9,2007,65149944
9,2008,59768548
9,2009,60249209
9,2010,63297061
9,2011,64646539
9,2012,64348127
9,2013,65529354
9,2014,67870717
9,2015,72528532
9,2016,76155732
9,2017,74937016
9,2018,78791842
9,2019,83142668
9,2020,26257897
10,2000,62152284
10,2001,47745189
10,2002,58249544
10,2003,60408603
10,2004,65686629
10,2005,65430180
10,2006,67055741
10,2007,70046552
10,2008,65248331
10,2009,64553523
10,2010,68064795
10,2011,67733495
10,2012,67573291
10,2013,69437302
10,2014,72441469
10,2015,77503321
10,2016,79019236
10,2017,82604550
10,2018,86193287
10,2019,89246813
10,2020,31153583
11,2000,60211906
11,2001,48248812
11,2002,54496680
11,2003,57261597
11,2004,62505652
11,2005,63771389
11,2006,65459165
11,2007,67423299
11,2008,59204196
11,2009,59970893
11,2010,63421471
11,2011,64202753
11,2012,64968014
11,2013,64156228
11,2014,66659184
11,2015,72338705
11,2016,75252190
11,2017,78719539
11,2018,82584299
11,2019,82823145
12,2000,57942293
12,2001,49815289
12,2002,60458232
12,2003,61013466
12,2004,64493697
12,2005,65070959
12,2006,66330608
12,2007,66775603
12,2008,62995668
12,2009,62717209
12,2010,64348632
12,2011,65462020
12,2012,65601855
12,2013,69901688
12,2014,71636457
12,2015,75098386
12,2016,77448147
12,2017,80155971
12,2018,83360182
12,2019,89976874
