Month,Year,passenger_miles
Jan,2000,48263245
Feb,2000,48580127
Mar,2000,59632014
Apr,2000,57636732
May,2000,59749900
Jun,2000,64046964
Jul,2000,66435577
Aug,2000,65252958
Sep,2000,55470176
Oct,2000,57979416
Nov,2000,55302968
Dec,2000,54460418
Jan,2001,52049391
Feb,2001,48845243
Mar,2001,60769073
Apr,2001,58479185
May,2001,59190930
Jun,2001,63729974
Jul,2001,67144380
Aug,2001,67664023
Sep,2001,38207236
Oct,2001,43609263
Nov,2001,44598156
Dec,2001,47422033
Jan,2002,45699949
Feb,2002,43964813
Mar,2002,56037382
Apr,2002,51993221
May,2002,54695480
Jun,2002,59031826
Jul,2002,61965515
Aug,2002,62332762
Sep,2002,48731119
Oct,2002,53268604
Nov,2002,49186629
Dec,2002,55458015
Jan,2003,49830903
Feb,2003,45514803
Mar,2003,54994261
Apr,2003,50304173
May,2003,53070727
Jun,2003,58958204
Jul,2003,64470622
Aug,2003,63540849
Sep,2003,51022359
Oct,2003,55549640
Nov,2003,52785625
Dec,2003,57280778
Jan,2004,52332277
Feb,2004,51347537
Mar,2004,61923381
Apr,2004,60744714
May,2004,61384009
Jun,2004,67430529
Jul,2004,71593504
Aug,2004,69244299
Sep,2004,56494925
Oct,2004,61743819
Nov,2004,58329543
Dec,2004,61424449
Jan,2005,57936503
Feb,2005,54233804
Mar,2005,68725711
Apr,2005,63817097
May,2005,67072652
Jun,2005,71621917
Jul,2005,76041550
Aug,2005,72415556
Sep,2005,60791372
Oct,2005,62624694
Nov,2005,60533679
Dec,2005,63220661
Jan,2006,59828980
Feb,2006,55491266
Mar,2006,69483900
Apr,2006,67122793
May,2006,68435521
Jun,2006,73147256
Jul,2006,76711219
Aug,2006,73076758
Sep,2006,61249897
Oct,2006,65091487
Nov,2006,62637778
Dec,2006,65157505
Jan,2007,61896193
Feb,2007,56914815
Mar,2007,71497177
Apr,2007,68813909
May,2007,70947617
Jun,2007,75914661
Jul,2007,79865223
Aug,2007,78314560
Sep,2007,64781658
Oct,2007,68397379
Nov,2007,65333114
Dec,2007,66764862
Jan,2008,63504217
Feb,2008,60578995
Mar,2008,73427185
Apr,2008,67956166
May,2008,71791924
